CustomerID,total_sales,unique_products,number_of_invoices,purchase_days,cancelled_invoices,cancellation_value,net_sales,average_order_value,total_invoice_activity,cancellation_rate
13313,1555.32,47,5,5,0,0.0,1555.32,311.06399999999996,5,0.0
18097,2479.88,64,5,4,1,4.95,2474.93,495.976,6,0.16666666666666666
16656,8197.039999999999,14,14,14,6,57.559999999999995,8139.48,585.5028571428571,20,0.3
16875,2095.53,93,5,4,4,72.06,2023.47,419.10600000000005,9,0.4444444444444444
13094,1703.64,4,11,11,4,218.46000000000004,1485.18,154.87636363636364,15,0.26666666666666666
17315,6172.31,239,37,34,4,37.9,6134.41,166.8191891891892,41,0.0975609756097561
14606,10842.39,773,85,82,32,421.9,10420.49,127.5575294117647,117,0.27350427350427353
15379,2211.83,98,6,6,1,71.4,2140.4300000000003,368.6383333333333,7,0.14285714285714285
16255,2245.66,141,7,7,2,10.61,2235.05,320.8085714285714,9,0.2222222222222222
13319,9294.47,191,22,15,8,131.10999999999999,9163.36,422.47590909090906,30,0.26666666666666666
16282,168.3,11,1,1,0,0.0,168.3,168.3,1,0.0
13963,513.24,28,3,3,0,0.0,513.24,171.08,3,0.0
12957,4017.54,208,8,7,4,38.5,3979.04,502.1925,12,0.3333333333333333
14462,1980.57,150,11,9,4,38.120000000000005,1942.45,180.05181818181816,15,0.26666666666666666
17841,38051.72,1293,118,106,43,641.2900000000001,37410.43,322.4722033898305,161,0.2670807453416149
17188,1960.59,67,6,5,1,89.15,1871.44,326.765,7,0.14285714285714285
15039,18474.93,385,45,40,5,128.0,18346.93,410.55400000000003,50,0.1
17428,16362.9,243,26,19,5,178.4,16184.5,629.3423076923077,31,0.16129032258064516
14210,1600.89,60,5,5,1,4.95,1595.94,320.178,6,0.16666666666666666
14180,3852.27,98,21,21,6,107.75,3744.52,183.44142857142856,27,0.2222222222222222
16029,67738.31999999999,42,57,35,13,27682.149999999998,40056.17,1188.3915789473683,70,0.18571428571428572
17975,3861.77,179,11,11,1,95.2,3766.57,351.07,12,0.08333333333333333
13397,1544.13,28,5,5,1,4.95,1539.18,308.826,6,0.16666666666666666
13680,3719.12,164,4,4,1,1520.1100000000001,2199.01,929.78,5,0.2
15164,824.58,79,3,3,0,0.0,824.58,274.86,3,0.0
17457,1737.7,14,5,5,0,0.0,1737.7,347.54,5,0.0
14732,2702.4900000000002,105,8,8,2,16.15,2686.34,337.81125000000003,10,0.2
16814,6143.41,116,20,20,1,8.5,6134.91,307.1705,21,0.047619047619047616
16725,437.82,51,4,4,1,5.95,431.87,109.455,5,0.2
14221,3432.8,123,9,7,1,4.95,3427.85,381.4222222222222,10,0.1
14553,859.27,103,5,4,0,0.0,859.27,171.85399999999998,5,0.0
13253,1030.4,35,2,2,0,0.0,1030.4,515.2,2,0.0
15373,1878.81,72,10,9,1,202.79999999999998,1676.01,187.881,11,0.09090909090909091
16241,2312.66,340,12,11,0,0.0,2312.66,192.72166666666666,12,0.0
