CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346,326,1,77183.6,1,Regular Customers
12747,2,9,3489.7400000000002,3,High-Value Customers
12748,1,175,28868.19,3,High-Value Customers
12749,4,5,4090.88,3,High-Value Customers
12820,3,4,942.34,2,Recent / Developing
12821,214,1,92.72,0,Dormant / Low-Value
12822,71,2,948.88,1,Regular Customers
12823,75,5,1759.5,1,Regular Customers
12824,60,1,397.12,0,Dormant / Low-Value
12826,3,6,1319.72,3,High-Value Customers
12827,6,3,430.15,2,Recent / Developing
12828,3,6,1018.71,3,High-Value Customers
12829,337,1,207.25,0,Dormant / Low-Value
12830,38,6,6814.64,1,Regular Customers
12831,262,1,215.05,0,Dormant / Low-Value
12832,32,2,383.03000000000003,2,Recent / Developing
12833,145,1,417.38,0,Dormant / Low-Value
12834,283,1,312.38,0,Dormant / Low-Value
12836,59,4,2610.36,1,Regular Customers
12837,173,1,134.1,0,Dormant / Low-Value
12838,34,1,281.16,2,Recent / Developing
12839,3,12,4853.97,3,High-Value Customers
12840,144,4,2726.77,1,Regular Customers
12841,5,23,3485.59,3,High-Value Customers
12842,70,2,1118.99,1,Regular Customers
12843,66,8,1702.26,1,Regular Customers
12844,29,2,325.96000000000004,2,Recent / Developing
12845,267,4,354.09000000000003,0,Dormant / Low-Value
12847,22,1,843.64,2,Recent / Developing
12849,31,2,1010.29,1,Regular Customers
12851,97,1,131.81,0,Dormant / Low-Value
12852,295,1,311.55,0,Dormant / Low-Value
12853,135,6,1957.1000000000001,1,Regular Customers
12854,79,3,1316.25,1,Regular Customers
12856,8,6,2170.78,3,High-Value Customers
12857,211,2,1106.4,0,Dormant / Low-Value
12863,52,1,521.2,0,Dormant / Low-Value
12864,138,1,147.12,0,Dormant / Low-Value
12867,26,6,3646.55,1,Regular Customers
12868,186,5,1403.76,1,Regular Customers
12871,84,2,380.64,0,Dormant / Low-Value
12872,327,1,221.44,0,Dormant / Low-Value
12873,282,1,374.0,0,Dormant / Low-Value
12875,143,1,49.470000000000006,0,Dormant / Low-Value
12877,4,11,1385.71,3,High-Value Customers
12878,236,2,854.99,0,Dormant / Low-Value
12879,45,3,573.22,1,Regular Customers
12881,276,1,298.0,0,Dormant / Low-Value
12882,9,2,1463.04,2,Recent / Developing
12883,25,4,703.47,1,Regular Customers
12884,88,1,309.05,0,Dormant / Low-Value
12885,63,3,1175.22,1,Regular Customers
12886,68,2,1378.4,1,Regular Customers
12888,214,2,354.12,0,Dormant / Low-Value
12890,24,1,376.71999999999997,2,Recent / Developing
12891,186,3,331.0,0,Dormant / Low-Value
12893,31,1,176.55,2,Recent / Developing
12895,42,2,372.8,2,Recent / Developing
12897,205,2,216.5,0,Dormant / Low-Value
12901,9,28,17654.54,3,High-Value Customers
12902,265,1,138.68,0,Dormant / Low-Value
12904,18,2,496.06,2,Recent / Developing
12906,12,5,2919.81,3,High-Value Customers
12908,176,2,750.0,0,Dormant / Low-Value
12909,40,5,2178.67,1,Regular Customers
12910,23,8,3075.04,3,High-Value Customers
12912,3,5,1662.3,3,High-Value Customers
12913,5,4,2066.01,3,High-Value Customers
12915,149,1,164.0,0,Dormant / Low-Value
12916,139,4,2944.95,1,Regular Customers
12917,128,1,594.0,0,Dormant / Low-Value
12919,8,6,1335.19,3,High-Value Customers
12920,17,1,162.78,2,Recent / Developing
12921,9,35,15899.29,3,High-Value Customers
12922,161,1,405.38,0,Dormant / Low-Value
12923,64,1,172.82,0,Dormant / Low-Value
12924,88,4,933.7,1,Regular Customers
12925,5,2,694.05,2,Recent / Developing
12928,35,4,1670.3600000000001,1,Regular Customers
12929,312,1,117.85,0,Dormant / Low-Value
12930,78,2,415.8,0,Dormant / Low-Value
12931,22,13,41878.96,3,High-Value Customers
12933,24,3,607.53,2,Recent / Developing
12935,2,7,2160.7,3,High-Value Customers
12936,17,4,1063.9,1,Regular Customers
