CustomerID,response,n_comp,loyalty,nps,n_communications,total_sales,unique_products,number_of_invoices,purchase_days,cancelled_invoices,cancellation_value,net_sales,average_order_value,total_invoice_activity,cancellation_rate,nps_category,has_cancellation
12346,1,2,1,7.0,8,77183.6,1,1,1,1,77183.6,0.0,77183.6,2,0.5,Passive,1
12747,0,1,1,3.0,3,3489.74,39,9,9,0,0.0,3489.74,387.74888888888887,9,0.0,Detractor,0
12748,1,0,1,9.0,6,28868.19,1602,175,100,12,4597.179999999999,24271.01,164.9610857142857,187,0.06417112299465241,Promoter,1
12749,0,4,1,2.0,5,4090.88,160,5,4,3,222.68,3868.2,818.176,8,0.375,Detractor,1
12820,0,4,1,2.0,2,942.34,55,4,4,0,0.0,942.34,235.585,4,0.0,Detractor,0
12821,1,2,1,5.0,7,92.72,6,1,1,0,0.0,92.72,92.72,1,0.0,Detractor,0
12822,1,1,1,6.0,6,948.88,41,2,2,1,29.9,918.98,474.44,3,0.3333333333333333,Detractor,1
12823,0,3,0,,3,1759.5,1,5,5,0,0.0,1759.5,351.9,5,0.0,,0
12824,0,3,1,2.0,3,397.12,25,1,1,0,0.0,397.12,397.12,1,0.0,Detractor,0
12826,0,5,1,8.0,6,1319.72,57,6,6,1,6.6,1313.1200000000001,219.95333333333335,7,0.14285714285714285,Passive,1
12827,0,4,1,0.0,8,430.15000000000003,19,3,3,0,0.0,430.15000000000003,143.38333333333335,3,0.0,Detractor,0
12828,1,4,1,4.0,2,1018.71,46,6,6,0,0.0,1018.71,169.785,6,0.0,Detractor,0
12829,1,5,1,2.0,8,207.25,6,1,1,1,39.95,167.3,207.25,2,0.5,Detractor,1
12830,0,3,1,7.0,3,6814.64,13,6,5,1,66.24,6748.4,1135.7733333333333,7,0.14285714285714285,Passive,1
12831,1,2,0,1.0,3,215.05,9,1,1,0,0.0,215.05,215.05,1,0.0,Detractor,0
12832,0,5,0,6.0,7,383.03,27,2,2,0,0.0,383.03,191.515,2,0.0,Detractor,0
12833,1,2,0,3.0,9,417.38,24,1,1,0,0.0,417.38,417.38,1,0.0,Detractor,0
12834,0,4,0,5.0,3,312.38,18,1,1,0,0.0,312.38,312.38,1,0.0,Detractor,0
12836,1,2,1,5.0,5,2610.36,148,4,4,0,0.0,2610.36,652.59,4,0.0,Detractor,0
12837,1,2,0,7.0,4,134.1,12,1,1,0,0.0,134.1,134.1,1,0.0,Passive,0
